"b","edge","from","to","weight"
15,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.009
15,"ENMO_log__to__MOE","ENMO_log","MOE",-0.172
15,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.035
15,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.165
16,"PIJN__to__PIJN","PIJN","PIJN",0.359
16,"PIJN__to__MOE","PIJN","MOE",0.15
16,"PIJN__to__STRESS","PIJN","STRESS",0.012
16,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.041
16,"MOE__to__PIJN","MOE","PIJN",0.075
16,"MOE__to__MOE","MOE","MOE",0.178
16,"MOE__to__STRESS","MOE","STRESS",-0.052
16,"MOE__to__ENMO_log","MOE","ENMO_log",-0.06
16,"STRESS__to__PIJN","STRESS","PIJN",0.071
16,"STRESS__to__MOE","STRESS","MOE",0.07
16,"STRESS__to__STRESS","STRESS","STRESS",0.336
16,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.048
16,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.001
16,"ENMO_log__to__MOE","ENMO_log","MOE",-0.08
16,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.062
16,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.161
17,"PIJN__to__PIJN","PIJN","PIJN",0.398
17,"PIJN__to__MOE","PIJN","MOE",0.073
17,"PIJN__to__STRESS","PIJN","STRESS",0.02
17,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.048
17,"MOE__to__PIJN","MOE","PIJN",0.08
17,"MOE__to__MOE","MOE","MOE",0.285
17,"MOE__to__STRESS","MOE","STRESS",-0.074
17,"MOE__to__ENMO_log","MOE","ENMO_log",-0.052
17,"STRESS__to__PIJN","STRESS","PIJN",0.083
17,"STRESS__to__MOE","STRESS","MOE",0.069
17,"STRESS__to__STRESS","STRESS","STRESS",0.356
17,"STRESS__to__ENMO_log","STRESS","ENMO_log",-0.044
17,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.083
17,"ENMO_log__to__MOE","ENMO_log","MOE",-0.203
17,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.02
17,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.177
18,"PIJN__to__PIJN","PIJN","PIJN",0.272
18,"PIJN__to__MOE","PIJN","MOE",-0.009
18,"PIJN__to__STRESS","PIJN","STRESS",-0.093
18,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.02
18,"MOE__to__PIJN","MOE","PIJN",-0.008
18,"MOE__to__MOE","MOE","MOE",0.27
18,"MOE__to__STRESS","MOE","STRESS",-0.06
18,"MOE__to__ENMO_log","MOE","ENMO_log",-0.004
18,"STRESS__to__PIJN","STRESS","PIJN",0.093
18,"STRESS__to__MOE","STRESS","MOE",0.077
18,"STRESS__to__STRESS","STRESS","STRESS",0.366
18,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.092
18,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.002
18,"ENMO_log__to__MOE","ENMO_log","MOE",-0.066
18,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.076
18,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.139
19,"PIJN__to__PIJN","PIJN","PIJN",0.3
19,"PIJN__to__MOE","PIJN","MOE",0.01
19,"PIJN__to__STRESS","PIJN","STRESS",-0.024
19,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.072
19,"MOE__to__PIJN","MOE","PIJN",0.156
19,"MOE__to__MOE","MOE","MOE",0.352
19,"MOE__to__STRESS","MOE","STRESS",0.01
19,"MOE__to__ENMO_log","MOE","ENMO_log",-0.17
19,"STRESS__to__PIJN","STRESS","PIJN",0.051
19,"STRESS__to__MOE","STRESS","MOE",0.061
19,"STRESS__to__STRESS","STRESS","STRESS",0.288
19,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.138
19,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.057
19,"ENMO_log__to__MOE","ENMO_log","MOE",-0.215
19,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.051
19,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.121
20,"PIJN__to__PIJN","PIJN","PIJN",0.346
20,"PIJN__to__MOE","PIJN","MOE",-0.03
20,"PIJN__to__STRESS","PIJN","STRESS",0.065
20,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.018
20,"MOE__to__PIJN","MOE","PIJN",0.055
20,"MOE__to__MOE","MOE","MOE",0.394
20,"MOE__to__STRESS","MOE","STRESS",-0.086
20,"MOE__to__ENMO_log","MOE","ENMO_log",-0.055
20,"STRESS__to__PIJN","STRESS","PIJN",0.041
20,"STRESS__to__MOE","STRESS","MOE",0.011
20,"STRESS__to__STRESS","STRESS","STRESS",0.329
20,"STRESS__to__ENMO_log","STRESS","ENMO_log",-0.047
20,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.152
20,"ENMO_log__to__MOE","ENMO_log","MOE",-0.35
