"dropped","edge","from","to","weight","P"
"P11","MOE__to__MOE","MOE","MOE",0.285,0
"P11","MOE__to__STRESS","MOE","STRESS",-0.074,0.065
"P11","MOE__to__ENMO_log","MOE","ENMO_log",-0.059,0.24
"P11","STRESS__to__PIJN","STRESS","PIJN",0.083,0.023
"P11","STRESS__to__MOE","STRESS","MOE",0.054,0.094
"P11","STRESS__to__STRESS","STRESS","STRESS",0.337,0
"P11","STRESS__to__ENMO_log","STRESS","ENMO_log",0.062,0.202
"P11","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.058,0.288
"P11","ENMO_log__to__MOE","ENMO_log","MOE",-0.134,0.014
"P11","ENMO_log__to__STRESS","ENMO_log","STRESS",0.034,0.259
"P11","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.167,0.003
"P12","PIJN__to__PIJN","PIJN","PIJN",0.366,0
"P12","PIJN__to__MOE","PIJN","MOE",0.066,0.191
"P12","PIJN__to__STRESS","PIJN","STRESS",0.035,0.521
"P12","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.01,0.83
"P12","MOE__to__PIJN","MOE","PIJN",0.014,0.766
"P12","MOE__to__MOE","MOE","MOE",0.289,0
"P12","MOE__to__STRESS","MOE","STRESS",-0.066,0.089
"P12","MOE__to__ENMO_log","MOE","ENMO_log",-0.058,0.237
"P12","STRESS__to__PIJN","STRESS","PIJN",0.085,0.028
"P12","STRESS__to__MOE","STRESS","MOE",0.051,0.129
"P12","STRESS__to__STRESS","STRESS","STRESS",0.339,0
"P12","STRESS__to__ENMO_log","STRESS","ENMO_log",0.073,0.148
"P12","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.072,0.185
"P12","ENMO_log__to__MOE","ENMO_log","MOE",-0.148,0.006
"P12","ENMO_log__to__STRESS","ENMO_log","STRESS",0.029,0.328
"P12","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.148,0.007
"P13","PIJN__to__PIJN","PIJN","PIJN",0.365,0
"P13","PIJN__to__MOE","PIJN","MOE",0.086,0.078
"P13","PIJN__to__STRESS","PIJN","STRESS",0.039,0.492
"P13","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.002,0.97
"P13","MOE__to__PIJN","MOE","PIJN",0.025,0.58
"P13","MOE__to__MOE","MOE","MOE",0.272,0
"P13","MOE__to__STRESS","MOE","STRESS",-0.075,0.076
"P13","MOE__to__ENMO_log","MOE","ENMO_log",-0.063,0.226
"P13","STRESS__to__PIJN","STRESS","PIJN",0.08,0.028
"P13","STRESS__to__MOE","STRESS","MOE",0.052,0.106
"P13","STRESS__to__STRESS","STRESS","STRESS",0.334,0
"P13","STRESS__to__ENMO_log","STRESS","ENMO_log",0.065,0.184
"P13","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.032,0.507
"P13","ENMO_log__to__MOE","ENMO_log","MOE",-0.126,0.023
"P13","ENMO_log__to__STRESS","ENMO_log","STRESS",0.029,0.347
"P13","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.15,0.008
"P14","PIJN__to__PIJN","PIJN","PIJN",0.353,0
"P14","PIJN__to__MOE","PIJN","MOE",0.048,0.31
"P14","PIJN__to__STRESS","PIJN","STRESS",0.032,0.57
"P14","PIJN__to__ENMO_log","PIJN","ENMO_log",0.004,0.939
"P14","MOE__to__PIJN","MOE","PIJN",0.003,0.942
"P14","MOE__to__MOE","MOE","MOE",0.282,0
"P14","MOE__to__STRESS","MOE","STRESS",-0.075,0.062
